Cinema: 12 
Date: 2020-01-13
Title; Year; Duration; Rate; Rate_Count; Genres; Hours; Description;
Marona - psia opowieœæ;2019;1 godz. 32 min.;7.3;34 oceny;nd;14.00 17.15 ;Piêkna, wielorasowa suczka Marona trafia w rêce coraz to nowych w³aœcicieli. Œwiat ludzi bywa jednak skomplikowany, czasem a¿ za bardzo dla ma³ego psa, który...;
Tajni i fajni;2019;1 godz. 42 min.;7.0;399 ocen;Animacja Komedia ;10.30 12.45 17.30 ;Na barkach dwóch ca³kowicie ró¿nych od siebie agentów spoczywa bezpieczeñstwo ca³ego œwiata. ;
Mayday;2020;1 godz. 53 min.;7.1;1 036 ocen;Komedia ;13.15 18.30 21.00 ;Janek, posiadaj¹cy dwie ¿ony, umiejêtnie lawiruje pomiêdzy nimi. Do czasu, gdy pojawi¹ siê k³opoty i powstanie zagro¿enie, ¿e ca³a sprawa siê wyda. ;
Tam gdzieœ musi byæ niebo;2019;1 godz. 37 min.;6.8;498 ocen;Komedia ;19.45 ;Palestyñski autor znów kieruje kamerê na siebie. Tym razem, ¿eby dziwiæ siê codziennym ¿yciem, ludzkim twarzom i zwyczajom: na Bliskim Wschodzie, w Pary¿u i...;
Na no¿e;2019;2 godz. 10 min.;8.0;34 670 ocen;Dramat Komedia kryminalna ;12.30 15.15 18.00 20.45 ;Detektyw Blanc bada sprawê œmierci bogatego pisarza, g³owy ekscentrycznej rodziny. Wszyscy jego krewni s¹ podejrzani. ;
Judy;2019;1 godz. 58 min.;6.9;2 677 ocen;Biograficzny Dramat Musical ;11.30 14.00 16.30 19.00 ;Zima 1968 roku. Ciesz¹ca siê ogromn¹ popularnoœci¹ Judy Garland przybywa do Londynu na seriê koncertów. ;
Oficer i szpieg;2019;2 godz. 6 min.;7.0;3 894 oceny;Biograficzny Polityczny Dramat historyczny ;16.15 19.00 21.45 ;Historia francuskiego kapitana Alfreda Dreyfusa, który zosta³ nies³usznie oskar¿ony o zdradê stanu i skazany na do¿ywotnie wiêzienie. ;
Bo¿e Cia³o;2019;1 godz. 55 min.;7.9;55 350 ocen;Obyczajowy ;12.30 17.45 20.15 ;Dwudziestoletni Daniel zostaje warunkowo zwolniony z poprawczaka. Wyje¿d¿a na drugi koniec Polski, ¿eby pracowaæ w stolarni, ale zamiast tego zaczyna udawaæ ksiêdza. ;
Deerskin;2019;1 godz. 17 min.;7.0;1 635 ocen;Komedia ;18.00 20.00 22.00 ;W³aœciciel kurtki z jeleniej skóry postanawia dla niej unicestwiæ wszystkie inne kurtki œwiata.;
Gwiezdne wojny: Skywalker. Odrodzenie;2019;2 godz. 21 min.;6.3;41 994 oceny;Przygodowy Sci-Fi ;15.15 21.00 ;Cz³onkowie organizacji Ruchu Oporu ponownie stawiaj¹ czo³a Najwy¿szemu Porz¹dkowi. ;
Kraina lodu II;2019;1 godz. 43 min.;7.3;19 618 ocen;Animacja Familijny Przygodowy ;11.45 14.00 ;Elsa i Anna wraz z przyjació³mi udaj¹ siê do Zaczarowanego Lasu w poszukiwaniu pomocy dla swego Królestwa.;
Parasite;2019;2 godz. 12 min.;8.2;52 231 ocen;Dramat ;12.30 18.15 ;Kiedy Ki-woo dostaje pracê jako korepetytor córki zamo¿nego ma³¿eñstwa, wymyœla sposób na zapewnienie zatrudnienia równie¿ reszcie swojej rodziny. ;
